times
2.796,
2.768,
2.745,
2.797,
2.744,
2.742,
2.807,
2.743,
2.696,
2.784,
2.655,
2.714,
2.787,
2.618,
2.74,
2.761,
2.7,
2.754,
2.672,
2.63
3.354,
3.275,
3.328,
3.253,
3.27,
3.287,
3.137,
3.336,
3.337,
3.278,
3.302,
3.307,
3.294,
3.299,
3.263,
3.291,
3.333,
3.326,
3.264,
3.239
3.601,
3.613,
3.586,
3.666,
3.775,
3.799,
3.714,
3.64,
3.737,
3.881,
3.682,
3.516,
3.714,
3.568,
3.757,
3.712,
3.667,
3.545,
3.736,
3.571
