times
2.809505,
2.9534700000000003,
3.050275,
2.8969650000000002,
3.0063950000000004,
3.0077850000000006,
2.8300050000000003,
3.0471500000000002,
2.85901,
2.8691400000000002,
3.2740150000000003,
2.9773250000000004,
2.70063,
2.3222400000000007,
2.3268150000000003,
2.3246800000000003,
2.3670450000000005,
2.20436,
2.364275,
2.2730650000000003,
2.2865850000000005,
2.347535,
2.2380700000000004,
2.23725,
2.20478,
2.3256450000000006,
2.3310950000000004,
2.301955,
2.6633299999999998,
2.4273500000000006,
1.6216150000000003,
1.61462,
1.6398200000000005,
1.8382200000000002,
1.6365000000000003,
1.72063,
1.8263350000000003,
1.7080700000000002,
1.7081799999999998,
1.6368600000000006,
1.8306850000000001,
1.5966250000000002,
1.6107250000000002,
1.6874250000000004,
1.6695250000000001,
1.6557550000000003,
1.6212400000000002,
1.7440100000000005,
1.6352350000000002,
1.6483650000000003,
1.70078,
1.6182250000000005,
1.64189,
1.6459550000000003,
1.716745,
1.5865750000000003,
1.7141950000000004,
1.7812750000000004,
1.6525450000000006,
1.600085
