
before-iter:86.99,89.68,75.83,63.71,53.66,39.67,51.24,46.03,29.75,18.18,27.42,19.84,16.39,15.7,14.75,
iter=0: 16.53,21.77,39.84,48.78,54.03,62.4,51.64,38.33,37.4,37.3,34.68,76.61,63.93,61.79,60.98,77.87,65.83,
after-iter:77.87,90.98,66.94,38.89,37.19,52.8,63.11,38.52,37.7,38.21,39.2,21.77,13.11,15.32,30.33,15.45,18.55,
before-iter:14.05,39.02,41.6,18.18,26.98,16.13,15.2,14.29,29.03,35.48,22.58,18.85,23.14,36.59,39.34,36.59,38.4,
iter=1: 37.5,44.35,38.84,60.98,52.03,64.52,45.16,40.98,39.02,38.21,36.07,66.67,60.16,66.4,70,60.8,
after-iter:61.16,64.52,23.58,14.4,14.17,13.01,12.3,21.95,23.33,18.03,13.82,14.52,13.11,15.57,21.77,18.7,14.88,
before-iter:15.08,27.05,14.63,21.77,26.02,23.58,20.97,17.21,15.32,21.77,17.89,19.17,21.77,21.85,14.63,16.94,18.03,
iter=2: 15.32,30.58,41.46,54.92,57.6,50.41,47.06,44.88,46.34,39.5,41.13,37.01,39.83,45.16,38.52,77.87,
after-iter:67.74,87.7,49.19,37.1,41.8,27.5,15.2,15.45,13.82,14.75,15.08,14.05,17.07,20.66,20,14.63,20.33,
before-iter:16.26,49.19,15.83,20,20.16,18.4,20.83,14.52,13.93,15.45,13.93,16.94,36,20.16,19.33,13.93,13.71,
iter=3: 16.13,31.45,53.28,50.79,56.67,59.68,39.34,37.82,35.54,38.84,41.13,44.17,65.32,61.16,60.98,61.48,
after-iter:59.84,76.42,14.75,12.1,14.63,13.11,20.33,28.46,16.67,16.13,12.5,14.63,13.82,22.95,15.32,14.63,13.22,
before-iter:13.82,28.69,16.39,16.39,16.13,15.13,17.21,13.22,13.93,19.67,23.33,18.18,13.82,19.2,13.82,17.21,15.32,
iter=4: 19.35,33.33,45.6,45.9,58.06,41.6,47.15,39.34,35.48,53.23,60.83,65.57,64.8,74.38,66.4,49.59,
after-iter:35.25,50,13.22,15.32,13.71,18.33,13.82,13.82,13.11,19.01,13.11,15.87,13.11,25.2,15.45,13.82,24.17,
before-iter:21.6,31.15,17.07,16,14.4,18.64,16,13.82,13.22,15.2,13.33,12.8,16.53,16.13,15.7,13.82,13.6,
iter=5: 17.07,40.68,66.13,50.81,69.84,41.46,39.84,38.4,36.59,53.28,61.79,61.67,61.48,61.29,64.75,
after-iter:61.79,44.72,36.59,15.45,12.61,13.82,12.4,18.85,22.58,28.46,39.34,36.07,38.02,47.97,37.7,38.1,37.4,
before-iter:29.51,20.83,23.39,14.75,12.3,15.2,18.18,15.87,18.85,14.63,20.33,19.17,16.26,13.93,20,12.4,16.54,
iter=6: 13.22,24.19,42.98,59.17,58.2,65.6,45.97,39.52,39.02,35.48,34.15,40.5,62.4,68,62.6,60.48,
after-iter:61.67,83.74,21.95,14.63,12.61,14.4,13.11,14.63,13.82,14.4,12.4,14.63,18.55,17.21,17.46,23.53,16,
before-iter:19.33,33.6,13.33,13.93,14.29,14.05,20.16,13.93,13.01,14.05,16.13,23.39,16.13,14.63,15.08,15.2,14.88,
iter=7: 13.71,31.93,46.4,53.72,60.98,52.85,47.54,40.98,35.48,35.29,36.07,51.2,63.11,62.1,60.16,61.48,
after-iter:61.79,78.05,13.01,20.97,15.32,13.22,14.63,20.33,16.53,22.4,13.11,21.77,24,12.2,14.4,13.93,18.18,
before-iter:12.9,29.51,14.4,13.11,14.05,26.61,23.77,19.35,14.05,15.7,20.66,15.57,23.2,16.26,13.82,13.33,13.71,
iter=8: 14.75,36,52.89,50,64.75,41.13,47.5,39.84,35.25,59.68,60.66,61.79,60,66.95,62.6,49.59,
after-iter:39.84,45.6,13.93,15.2,13.11,13.82,17.89,16.13,14.52,13.45,16,13.01,26.02,17.21,14.4,14.63,
before-iter:13.11,25.6,29.75,19.01,16.8,40,43.8,29.03,5.88,4.13,12.3,23.14,17.36,30.89,10.66,14.75,9.02,22.5,
iter=9: 17.36,28.69,57.72,86.07,89.17,96.06,98.51,87.39,84.55,73.39,92.5,73.17,45.38,42.98,29.51,28.69,45.45,56.1,60.17,54.55,68.25,
after-iter:73.95,63.71,76.03,15.7,8,5.04,9.84,17.89,25.21,19.83,19.83,18.03,28.1,20.33,13.33,13.01,14.17,23.39,
