times
2.198950000000001,
2.28839,
2.40417,
7.148145,
5.820835,
2.757915000000001,
2.1531100000000003,
1.939335,
2.0241400000000005,
2.5409300000000004,
2.210235,
2.326555,
2.2979000000000003,
2.0954300000000003,
2.0659650000000007,
2.645815,
2.24069,
1.87098,
1.986875,
2.0141199999999997,
2.6788600000000007,
2.09303,
2.0662249999999998,
2.03229,
2.1101600000000005,
2.0177849999999995,
2.0840350000000005,
1.9163800000000002,
1.9796749999999996,
1.9325550000000002,
1.9875550000000002,
2.114805,
2.2806,
1.9127899999999995,
2.0393150000000007,
2.0295399999999995,
2.28238,
2.0106749999999995,
1.930815000000001,
2.09107,
2.1715300000000006,
1.8731300000000002,
1.9129350000000005,
1.9115600000000004,
1.8970350000000002,
1.8632050000000004,
1.9250500000000006,
1.917185,
1.9425749999999997,
1.9616450000000005,
1.9655349999999994,
2.002515,
1.94298,
1.9031100000000005,
1.9573249999999998,
1.9833650000000007,
1.9202750000000002,
1.8992900000000008,
1.903895,
1.960085,
1.97129,
1.9685850000000005,
1.90317,
1.8734249999999997,
2.107995,
2.606495,
1.9793800000000006,
2.0243949999999997,
1.9091400000000007,
1.957995,
1.9382100000000004,
2.712,
2.07404,
1.9102350000000001,
1.8692549999999997,
1.9647700000000003,
1.866670000000001,
1.94844,
1.9716600000000004,
1.9997000000000011,
2.011635,
1.9615599999999995,
1.9972600000000003,
1.9678400000000011,
1.9630750000000008,
2.1397049999999993,
2.0647749999999996,
1.966895000000001,
2.1535700000000007,
1.8655049999999993,
1.6854300000000006,
1.9691950000000003,
1.9561850000000005,
2.0306300000000004,
1.9786899999999996,
1.9667249999999994,
2.0356899999999998,
1.9428249999999998,
1.8974599999999995,
1.9185900000000007
